CONCEPTO(Millones de pesos),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Producto interno bruto,"36.507,3","40.912,2","43.883,3","45.689,9",46.353,47.461,48.791,50.262,51.643,52.184,54.500,54.780,55.771,57.025,56.932,50.698,51.334,52.245
Agricultura ganadería y silvicultura,"1.579,6","1.460,6","1.746,5","1.756,6",1.815,1.722,1.807,1.817,1.902,1.945,1.993,2.113,2.083,2.137,1.904,1.457,1.262,1.195
Pesca,"120,9","137,1","139,4","141,3",79,60,52,55,58,59,61,60,60,62,55,53,49,36
Explotación de minas y canteras,"251,1","267,5","278,3","287,3",278,298,303,309,302,300,294,283,279,269,230,232,229,194
Industria azucarera,"223,3","201,2","194,4","225,1",222,193,203,218,235,245,289,233,279,157,206,183,125,83
Industrias manufactureras (excepto Industria  azucarera),"5.043,0","5.310,5","5.849,0","6.133,8",6.195,6.294,6.540,6.673,6.798,6.534,6.916,6.597,6.478,6.538,6.080,5.187,4.398,4.134
Suministro de electricidad gas y agua","585,4","605,5","653,2","657,2",662,651,669,698,724,729,760,769,779,788,783,736,697,605
Construcción,"2.209,1","3.042,0","2.780,0","2.848,0",2.864,2.651,2.458,2.734,2.951,2.883,3.374,3.531,3.849,4.206,4.224,4.245,4.420,4.189
Comercio; reparación de efectos personales,"6.710,4","8.679,0","8.653,7","8.363,2",8.374,8.537,9.004,9.485,9.837,10.158,10.712,10.449,10.519,10.771,10.249,9.001,8.398,7.983
Hoteles y restaurantes,"1.893,0","1.875,7","1.966,9","2.167,3",2.385,2.559,2.790,2.932,3.001,3.094,3.374,3.780,4.068,3.922,4.048,3.058,3.219,3.983
Transportes almacenamiento y comunicaciones","3.245,0","3.541,9","3.768,6","4.019,0",4.118,4.224,4.377,4.648,4.796,5.002,5.328,5.507,5.708,6.073,6.197,5.903,6.249,7.861
Intermediación financiera,"1.004,1","1.068,3","1.166,6","1.228,4",1.244,1.251,1.266,1.272,1.287,1.339,1.393,1.430,1.406,1.448,1.440,1.392,1.385,1.360
Servicios empresariales actividades inmobiliarias  y de alquiler","1.224,0","1.222,4","1.310,4","1.335,5",1.342,1.424,1.473,1.684,1.727,1.815,1.884,1.926,1.968,1.999,2.025,2.003,2.033,2.131
Administración pública defensa; seguridad social","1.383,1","1.621,3","1.716,1","1.772,2",1.888,1.921,1.950,1.949,1.972,1.961,1.921,1.962,2.006,2.009,2.021,1.984,2.046,1.965
Ciencia e innovación tecnológica,"125,6","133,7","147,1","183,0",203,218,235,252,262,262,255,261,258,269,263,264,275,262
Educación,"3.191,0","3.265,6","3.564,3","3.675,8",3.731,3.899,3.692,3.552,3.475,3.370,3.300,3.390,3.339,3.331,3.334,2.375,2.599,3.969
Salud pública y asistencia social,"5.051,2","5.663,5","6.850,4","7.721,7",7.984,8.432,8.721,8.756,8.917,9.095,9.204,9.183,9.497,9.785,10.561,9.531,10.892,9.082
Cultura y deporte,"1.287,4","1.551,8","1.765,7","1.787,4",1.799,1.939,1.904,1.900,1.990,2.038,1.955,1.918,1.927,1.956,1.992,1.821,1.804,2.029
Otras actividades de servicios comunales de asociaciones y personales","851,5","607,6","681,0","689,1",727,726,738,732,764,780,836,853,821,834,879,855,858,828
Derechos de importación,"528,6","657,0","651,7","698,0",443,462,609,596,645,575,654,535,449,469,441,418,398,357