"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección empresarial y ",,,,,,
"        empresarial y órgano u organismo, año 2018",,,,,,,"        empresarial y órgano u organismo, año 2019",,,,,,,"        empresarial y órgano u organismo, año 2020",,,,,,,,,"        empresarial y órgano u organismo, año 2021",,,,,,,,,"      órgano u organismo, año 2022",,,,,,
,,,,,Unidad,,,,,,,Unidad,,,,,,,Unidad,,,,,,,,,,,Unidad,,                                                                                                                                                               Unidad,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unidades,Empresas ,Sociedades,Empresas ,Mipyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCEPTO,Total,Presupuestadas,Estatales, Mercantiles,Filiales,Estatal
,,,,,Unidades,,,,,,,Unidades,,,,,,,Unidades,,,,,,,,,,Cooperativas Agropecuarias,Unidades,,,,,,,,
,,,Sociedades,,Presu-,,,,,Sociedades,,Presu-,,,,,Sociedades,,Presu-,,,,,,,Sociedades,,,,Presu-,,Total,4.734,2.418,1.863,268,134,51
CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,,,CONCEPTO,Total,Empresas , Mercantiles,MIPYMES,CNoA,,puestadas,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Ministerio de Industrias,183,5,139,8,31,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subordinado al Organismo Superior,4,4,-,-,-,-
Total,8.745,1.752,231,4.521,2.241,,Total,8.732,1.750,232,4.509,2.241,,Total,9.560,1.795,255,5.278,"2232,0 ",,,,Total,9.900,1.758,257,270,426,4.785,"2404,0 ",, Grupo Empresarial de la Industria Ligera,29,-,28,1,-,-
 Ministerio de Industrias,31,-,-,28,3,, Ministerio de Industrias,29,-,-,26,3,, Ministerio de Industrias,28,-,-,24,"4,0 ",,,, Ministerio de Industrias,172,135,7,-,24,-,"6,0 ",, Grupo Empresarial de la Industria Química,15,-,14,1,-,-
 Grupo Empresarial de la Industria Ligera,24,21,2,-,1,, Grupo Empresarial de la Industria Ligera,23,21,1,-,1,, Grupo Empresarial de la Industria Ligera,28,26,1,-,1,,,, Grupo Empresarial de la Industria Ligera,4,-,-,-,24,-,4,," Grupo de la Industria Electrónica, la Informática, la Automatización y las Comunicaciones",39,-,18,4,17,-
 Grupo Empresarial de la Industria Química,14,13,1,-,-,, Grupo Empresarial de la Industria Química,15,14,1,-,-,, Grupo Empresarial de la Industria Química,15,14,1,-,-,,,, Grupo Empresarial de la Industria Química,28,26,1,-,-,-,1,, Grupo Empresarial de la Industria Sidero Mecánica,70,1,54,1,14,-
" Grupo de la Industria Electrónica, la Informática, la Automatización",,,,,,," Grupo de la Industria Electrónica, la Informática, la Automatización",,,,,,," Grupo de la Industria Electrónica, la Informática, la Automatización y las       Comunicaciones",21,17,3,-,"1,0 ",,,," Grupo de la Industria Electrónica, la Informática, la Automatización y las       Comunicaciones",15,14,1,-,-,-,-,, Grupo Empresarial de Reciclaje,26,-,25,1,-,-
   y las Comunicaciones,19,16,2,-,1,,   y las Comunicaciones,21,17,3,-,1,, Grupo Empresarial de la Industria Sidero Mecánica,54,52,1,-,"1,0 ",,,, Grupo Empresarial de la Industria Sidero Mecánica,20,17,3,-,-,-,-,, Ministerio de Energía y Minas,115,7,85,22,1,-
 Grupo Empresarial de la Industria Sidero Mecánica,74,72,1,-,1,, Grupo Empresarial de la Industria Sidero Mecánica,52,50,1,-,1,, Grupo Empresarial de Reciclaje,25,25,-,-,-,,,, Grupo Empresarial de Reciclaje,55,53,1,-,-,-,"1,0 ",,Subordinado al Organismo Superior,10,7,-,3,-,-
 Ministerio de Energía y Minas,#VALUE!,-,3,5,7,, Ministerio de Energía y Minas,#VALUE!,-,3,5,7,, Ministerio de Energía y Minas,15,-,3,5,"7,0 ",,,, Ministerio de Energía y Minas,119,86,21,0,5,0,"7,0 ",, Grupo Empresarial del Níquel,17,-,10,7,-,-
 Grupo Empresarial del Níquel,#VALUE!,10,7,-,1,, Grupo Empresarial del Níquel,#VALUE!,10,7,-,1,, Grupo Empresarial del Níquel,17,10,7,-,-,,,,Subordinado al Organismo Superior,15,-,3,-,5,-,"7,0 ",, Unión Eléctrica,41,-,40,1,-,-
 Unión Eléctrica,#VALUE!,41,1,-,-,, Unión Eléctrica,#VALUE!,40,1,-,-,, Unión Eléctrica,41,40,1,-,-,,,, Grupo Empresarial del Níquel,18,11,7,-,-,-,-,, Unión Cuba-Petróleo,31,-,22,9,-,-
 Unión Cuba-Petróleo,#VALUE!,21,3,-,1,, Unión Cuba-Petróleo,#VALUE!,21,5,-,1,, Unión Cuba-Petróleo,31,23,8,-,-,,,, Unión Eléctrica,41,40,1,-,-,-,-,, Grupo Empresarial Geominero-Salinero GEOMINSAL,16,-,13,2,1,-
 Grupo Empresarial Geominero-Salinero GEOMINSAL,#VALUE!,13,2,-,-,, Grupo Empresarial Geominero-Salinero GEOMINSAL,#VALUE!,13,2,-,-,, Grupo Empresarial Geominero-Salinero GEOMINSAL,15,13,2,-,-,,,, Unión Cuba-Petróleo,30,22,8,-,-,-,-,, Ministerio de la Industria Alimentaria,124,6,96,10,12,-
 Ministerio de la Industria Alimentaria,#VALUE!,-,10,3,6,, Ministerio de la Industria Alimentaria,#VALUE!,-,10,3,6,, Ministerio de la Industria Alimentaria,18,-,9,3,"6,0 ",,,, Grupo Empresarial Geominero-Salinero GEOMINSAL,15,13,2,-,-,-,-,,Subordinado al Organismo Superior,15,6,-,9,-,-
 Grupo Empresarial de la Industria Alimentaria,#VALUE!,94,-,-,-,, Grupo Empresarial de la Industria Alimentaria,#VALUE!,93,-,-,-,, Grupo Empresarial de la Industria Alimentaria,93,93,-,-,-,,,, Ministerio de la Industria Alimentaria,113,95,9,0,3,0,"6,0 ",,Grupo Empresarial de la Industria Pesquera,31,-,31,-,-,-
 Instituto de Recursos Hidráulicos,#VALUE!,65,1,-,17,, Instituto de Recursos Hidráulicos,#VALUE!,20,1,-,14,, Instituto de Recursos Hidráulicos,18,-,1,-,"17,0 ",,,,Subordinado al Organismo Superior,18,-,9,-,3,-,"6,0 ",,Grupo Empresarial de la Industria Agroalimentaria,46,-,39,-,7,-
 Entidades de Recursos Hidraúlicos,#VALUE!,-,-,-,1,, Entidades de Recursos Hidraúlicos,#VALUE!,-,-,-,1,, Grupo Empresarial de Agua y Saneamiento,30,29,-,-,"1,0 ",,,,Grupo Empresarial de la Industria Pesquera,1,1,-,-,-,-,-,, Grupo Empresarial de la Industria Alimentaria,32,-,26,1,5,-
 Grupo Empresarial de Acueducto y Alcantarillado,#VALUE!,4,-,-,-,, Grupo Empresarial de Agua y Saneamiento,#VALUE!,9,-,-,1,, Grupo Empresarial de Gestion de las  Agua  Terrestres,38,37,-,-,"1,0 ",,,,Grupo Empresarial de la Industria Agroalimentaria,1,1,-,-,-,-,-,, Instituto de Recursos Hidráulicos,89,21,66,1,1,-
 Ministerio de la Construcción,#VALUE!,-,-,67,4,, Grupo Empresarial de Gestion de las  Agua  Terrestres,#VALUE!,37,-,-,1,, Ministerio de la Construcción,70,-,-,66,"4,0 ",,,, Grupo Empresarial de la Industria Alimentaria,93,93,-,-,-,-,-,,Subordinado al Organismo Superior,20,19,-,1,-,-
 Grupo Empresarial de Diseño e Ingeniería de la Construcción GEDIC,#VALUE!,32,3,-,-,, Ministerio de la Construcción,#VALUE!,-,-,67,4,, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,35,32,3,-,-,,,, Instituto de Recursos Hidráulicos,86,66,1,0,0,0,"19,0 ",, Grupo Empresarial de Agua y Saneamiento,31,1,29,-,1,-
 Grupo empresarial de Construcción y Montaje GECONS,#VALUE!,55,-,-,-,, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,#VALUE!,32,3,-,-,, Grupo empresarial de Construcción y Montaje GECONS,52,52,-,-,-,,,,Subordinado al Organismo Superior,18,-,1,-,-,-,"17,0 ",, Grupo Empresarial de Gestion de las Agua Terrestres,38,1,37,-,-,-
 Grupo empresarial de Materiales de la Construcción GEICON,#VALUE!,40,4,-,-,, Grupo empresarial de Construcción y Montaje GECONS,#VALUE!,52,-,-,-,, Grupo empresarial de Materiales de la Construcción GEICON,45,41,4,-,-,,,, Grupo Empresarial de Agua y Saneamiento,30,29,-,-,-,-,"1,0 ",, Ministerio de la Construcción,142,4,124,7,7,-
 Ministerio de la Agricultura,4.268,5,1,4.104,158,, Grupo empresarial de Materiales de la Construcción GEICON,#VALUE!,41,4,-,-,, Ministerio de la Agricultura,4.257,4,1,4.094,"158,0 ",,,, Grupo Empresarial de Gestion de las  Agua  Terrestres,38,37,-,-,-,-,"1,0 ",,Subordinado al Organismo Superior,4,4,-,-,-,-
 Grupo Empresarial Agropecuario y Forestal Artemisa ,#VALUE!,10,-,-,-,, Ministerio de la Agricultura,4.258,4,1,4.095,158,, Grupo Empresarial Agropecuario y Forestal Artemisa ,10,10,-,-,-,,,, Ministerio de la Construcción,202,125,7,0,66,0,"4,0 ",, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,42,-,32,3,7,-
 Grupo Empresarial Agropecuario y Forestal Mayabeque,#VALUE!,10,-,-,-,, Grupo Empresarial Agropecuario y Forestal Artemisa ,#VALUE!,10,-,-,-,, Grupo Empresarial Agropecuario y Forestal Mayabeque,10,10,-,-,-,,,,Subordinado al Organismo Superior,70,-,-,-,66,-,"4,0 ",, Grupo empresarial de Construcción y Montaje GECONS,52,-,52,-,-,-
 Grupo Empresarial Ganadero,90,85,1,-,4,, Grupo Empresarial Agropecuario y Forestal Mayabeque,#VALUE!,10,-,-,-,, Grupo Empresarial Ganadero,90,89,1,-,-,,,, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,35,32,3,-,-,-,-,, Grupo empresarial de Materiales de la Construcción GEICON,44,-,40,4,-,-
 Grupo Empresarial de Logística,25,25,-,-,-,, Grupo Empresarial Ganadero,90,89,1,-,-,, Grupo Empresarial de Logística,25,25,-,-,-,,,, Grupo empresarial de Construcción y Montaje GECONS,52,52,-,-,-,-,-,, Ministerio de la Agricultura,593,192,373,8,20,-
 Grupo Empresarial Agrícola,81,74,1,-,6,, Grupo Empresarial de Logística,25,25,-,-,-,, Grupo Empresarial Agrícola,67,60,1,-,"6,0 ",,,, Grupo empresarial de Materiales de la Construcción GEICON,45,41,4,-,-,-,-,,Subordinado al Organismo Superior,188,183,4,1,-,-
 Grupo Empresarial Flora y Fauna,8,7,1,-,-,, Grupo Empresarial Agrícola,68,61,1,-,6,, Grupo Empresarial Flora y Fauna,12,11,1,-,-,,,, Ministerio de la Agricultura,4.492,263,6,0,17,4.014,"192,0 ",,Grupo Empresarial Agropecuario y Forestal Artemisa,11,-,10,-,1,-
 Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,#VALUE!,21,1,-,-,, Grupo Empresarial Flora y Fauna,9,8,1,-,-,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,23,22,1,-,-,,,,Subordinado al Organismo Superior,4.219,4,1,-,17,4.014,"183,0 ",,Grupo Empresarial Agropecuario y Forestal Mayabeque,10,-,10,-,-,-
 Grupo Empresarial Agroforestal,78,75,1,-,2,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,#VALUE!,21,1,-,-,, Grupo Empresarial Agroforestal,76,73,1,-,"2,0 ",,,, Grupo Empresarial Agropecuario y Forestal Artemisa ,,,,,,,,,Grupo Empresarial Ganadero,90,-,89,1,-,-
 Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,, Grupo Empresarial Agroforestal,76,73,1,-,2,, Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,,,, Grupo Empresarial de Logística,25,25,-,-,-,-,-,, Grupo Empresarial de Logística,29,-,25,-,4,-
 Ministerio del Transporte,25,3,4,8,10,, Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,, Grupo Empresarial de Acopio,"14,0 ","14,0 ",-,-,-,,,, Grupo Empresarial Agrícola,"67,0 ","59,0 ","1,0 ",-,-,-,"7,0 ",, Grupo Empresarial Agrícola,68,7,59,2,-,-
 Grupo Empresarial de Servicios de Transporte Automotor,#VALUE!,19,2,-,-,, Ministerio del Transporte,20,2,4,5,9,, Ministerio del Transporte,20,2,5,5,"8,0 ",,,, Grupo Empresarial Flora y Fauna,25,24,1,-,-,-,-,, Grupo Empresarial Flora y Fauna,25,-,24,1,-,-
 Grupo Empresarial de Transporte Marítimo Portuario,#VALUE!,24,4,-,-,, Grupo Empresarial de Servicios de Transporte Automotor,#VALUE!,18,2,-,-,, Grupo Empresarial de Servicios de Transporte Automotor,20,18,2,-,-,,,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,23,22,1,-,-,-,-,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,23,-,22,1,-,-
" Corporación de la Aviación Cubana, S.A.",#VALUE!,-,12,-,-,, Grupo Empresarial de Transporte Marítimo Portuario,#VALUE!,24,4,-,-,, Grupo Empresarial de Transporte Marítimo Portuario,29,25,4,-,-,,,, Grupo Empresarial Agroforestal,76,73,1,-,-,-,"2,0 ",, Grupo Empresarial Agroforestal,83,2,74,1,6,-
 Grupo Empresarial Constructor del Transporte,#VALUE!,17,-,-,-,," Corporación de la Aviación Cubana, S.A.",#VALUE!,-,12,-,-,," Corporación de la Aviación Cubana, S.A.",12,-,12,-,-,,,, Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,-,-,, Grupo Empresarial de Tabaco de Cuba,50,-,42,1,7,-
 Unión de Ferrocarriles de Cuba,#VALUE!,8,-,-,-,, Grupo Empresarial Constructor del Transporte,#VALUE!,11,-,-,-,, Grupo Empresarial Constructor del Transporte,6,6,-,-,-,,,, Grupo Empresarial de Acopio,14,14,,-,-,-,-,, Grupo Empresarial de Acopio,16,-,14,,2,-
 Ministerio de Comunicaciones,#VALUE!,-,2,-,7,, Unión de Ferrocarriles de Cuba,#VALUE!,10,-,-,-,, Unión de Ferrocarriles de Cuba,12,12,-,-,-,,,, Ministerio del Transporte,96,59,24,0,5,0,"8,0 ",, Ministerio del Transporte,100,8,55,24,13,-
 Grupo Empresarial Correos de Cuba,#VALUE!,21,-,-,-,, Ministerio de Comunicaciones,#VALUE!,-,2,-,7,, Ministerio de Comunicaciones,10,-,3,-,"7,0 ",,,,Subordinado al Organismo Superior,20,2,5,-,5,-,"8,0 ",,Subordinado al Organismo Superior,13,8,-,5,-,-
 Grupo Empresarial de la Informática y las Comunicaciones,#VALUE!,10,7,-,-,, Grupo Empresarial Correos de Cuba,#VALUE!,21,-,-,-,, Grupo Empresarial Correos de Cuba,21,21,-,-,-,,,, Grupo Empresarial de Servicios de Transporte Automotor,21,19,2,-,-,-,-,, Grupo Empresarial de Servicios de Transporte Automotor,33,-,19,2,12,-
 Ministerio del Comercio Interior,#VALUE!,1,-,2,4,, Grupo Empresarial de la Informática y las Comunicaciones,#VALUE!,10,6,-,-,, Grupo Empresarial de la Informática y las Comunicaciones,16,9,7,-,-,,,, Grupo Empresarial de Transporte Marítimo Portuario,29,25,4,-,-,-,-,, Grupo Empresarial de Transporte Marítimo Portuario,29,-,24,4,1,-
 Grupo de Empresas Mayoristas de Productos Alimenticios y,   ,,,,,, Ministerio del Comercio Interior,#VALUE!,1,-,2,4,, Ministerio del Comercio Interior,7,1,-,2,"4,0 ",,,," Corporación de la Aviación Cubana, S.A.",12,-,12,-,-,-,-,," Corporación de la Aviación Cubana, S.A.",12,-,-,12,-,-
