"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección empresarial y ",,,,,,
   otros Bienes de Consumo,#VALUE!,21,-,-,-,, Grupo de Empresas Mayoristas de Productos Alimenticios y,   ,,,,,,Grupo de Empresas Mayoristas de Productos Alimenticios,   ,,,,,,,, Grupo Empresarial Constructor del Transporte,1,1,-,-,-,-,-,, Unión de Ferrocarriles de Cuba,13,-,12,1,-,-
 Grupo Comercializador de Productos Industriales y de Servicios,#VALUE!,21,-,-,-,,   otros Bienes de Consumo,#VALUE!,21,-,-,-,,y otros Bienes de Consumo,21,21,-,-,-,,,, Unión de Ferrocarriles de Cuba,13,12,1,-,-,-,-,, Ministerio de Comunicaciones,46,7,30,9,-,-
 Ministerio del Comercio Exterior y la Inversión Extranjera,#VALUE!,-,-,-,5,, Grupo Comercializador de Productos Industriales y de Servicios,#VALUE!,21,1,-,-,, Grupo Comercializador de Productos Industriales y de Servicios,22,21,1,-,-,,,, Ministerio de Comunicaciones,47,30,10,0,0,0,"7,0 ",,Subordinado al Organismo Superior,10,7,-,3,-,-
 Grupo Empresarial del Comercio Exterior,#VALUE!,13,5,-,-,, Ministerio del Comercio Exterior y la Inversión Extranjera,#VALUE!,-,-,-,5,, Ministerio del Comercio Exterior y la Inversión Extranjera,1,-,-,-,"1,0 ",,,,Subordinado al Organismo Superior,10,-,3,-,-,-,"7,0 ",, Grupo Empresarial Correos de Cuba,21,-,21,-,-,-
" Ministerio de Ciencias, Tecnología y Medio Ambiente",#VALUE!,8,2,-,71,, Grupo Empresarial del Comercio Exterior,#VALUE!,13,5,-,-,, Grupo Empresarial del Comercio Exterior,25,13,12,-,-,,,, Grupo Empresarial Correos de Cuba,21,21,-,-,-,-,-,, Grupo Empresarial de la Informática y las Comunicaciones,15,-,9,6,-,-
 Agencia de Medio Ambiente,#VALUE!,-,-,-, 1,," Ministerio de Ciencias, Tecnología y Medio Ambiente",#VALUE!,6,2,-,73,," Ministerio de Ciencias, Tecnología y Medio Ambiente",76,6,2,-,"68,0 ",,,, Grupo Empresarial de la Informática y las Comunicaciones,16,9,7,-,-,-,-,, Ministerio del Comercio Interior,50,4,45,1,-,-
 Ministerio de Educación,#VALUE!,-,-,-,5,, Agencia de Medio Ambiente,#VALUE!,-,-,-,1,, Agencia de Medio Ambiente,8,-,-,-,"8,0 ",,,, Ministerio del Comercio Interior,52,45, 1, 0, 2,0,"4,0 ",,Subordinado al Organismo Superior,5,4,1,-,-,-
 Grupo Empresarial del Ministerio de Educación,#VALUE!,7,-,-,-,, Ministerio de Educación,#VALUE!,-,-,-,5,, Ministerio de Educación,4,-,-,-,"4,0 ",,,,Subordinado al Organismo Superior,7,1,-,-,2,-,"4,0 ",, Grupo de Empresas Mayoristas de Productos Alimenticios y otros Bienes de Consumo,23,-,23,-,-,-
 Ministerio de Educación Superior,#VALUE!,5,1,-,38,, Grupo Empresarial del Ministerio de Educación,#VALUE!,7,-,-,-,, Grupo Empresarial del Ministerio de Educación,7,7,-,-,-,,,, Grupo de Empresas Mayoristas de Productos Alimenticios y otros Bienes de Consumo,23,23,-,-,-,-,-,, Grupo Comercializador de Productos Industriales y de Servicios,22,-,21,1,-,-
 Ministerio de Cultura,#VALUE!,20,6,-,25,, Ministerio de Educación Superior,#VALUE!,5,1,-,38,, Ministerio de Educación Superior,46,5,3,-,"38,0 ",,,, Grupo Comercializador de Productos Industriales y de Servicios,22,21,1,-,-,-,-,, Ministerio del Comercio Exterior y la Inversión Extranjera,26,1,12,13,-,-
 Ministerio de Salud Pública,#VALUE!,1,6,-,50,, Ministerio de Cultura,#VALUE!,18,6,-,27,, Ministerio de Cultura,51,18,6,-,"27,0 ",,,, Ministerio del Comercio Exterior y la Inversión Extranjera,27,13,13,0,0,0,"1,0 ",,Subordinado al Organismo Superior,1,1,-,-,-,-
 Grupo Empresarial para el Aseguramiento de la Salud Pública,#VALUE!,6,-,-,-,, Ministerio de Salud Pública,#VALUE!,1,6,-,50,, Ministerio de Salud Pública,57,1,6,-,"50,0 ",,,,Subordinado al Organismo Superior,1,-,-,-,-,-,"1,0 ",, Grupo Empresarial del Comercio Exterior,25,-,12,13,-,-
" Instituto Nacional de Deportes, Educación Física y Recreación",13,3,1,1,8,, Grupo Empresarial para el Aseguramiento de la Salud Pública,#VALUE!,6,-,-,-,, Grupo Empresarial para el Aseguramiento de la Salud Pública,6,6,-,-,-,,,, Grupo Empresarial del Comercio Exterior,26,13,13,-,-,-,-,," Ministerio de Ciencias, Tecnología y Medio Ambiente",86,78,6,2,-,-
 Ministerio del Turismo,#VALUE!,-,5,19,3,," Instituto Nacional de Deportes, Educación Física y Recreación",13,3,1,1,8,," Instituto Nacional de Deportes, Educación Física y Recreación",13,3,1,1,"8,0 ",,,," Ministerio de Ciencias, Tecnología y Medio Ambiente",86,6,2,0,0,0,"78,0 ",,"Grupo Empresarial de la Ciencia, la Tecnología y el Medio Ambiente",64,62,-,2,-,-
" Grupo Empresarial CUBASOL, S.A.",#VALUE!,-, 7,-,-,, Ministerio del Turismo,#VALUE!,-,5,18,2,, Ministerio del Turismo,25,-,5,18,"2,0 ",,,,Subordinado al Organismo Superior,78,6,2,-,-,-,"70,0 ",,Agencia de Energía Nuclear y Tecnologías de Avanzada,8,8,-,-,-,-
" Corporación de comercio y turismo internacional Cubanacán, S.A.",#VALUE!,-, 2,-,-,," Grupo Empresarial CUBASOL, S.A.",#VALUE!,-, 7,-,-,," Grupo Empresarial CUBASOL, S.A.",7,-, 7,-,-,,,, Agencia de Medio Ambiente,8,-,-,-,-,-,"8,0 ",,Subordinado al Organismo Superior,6,-,6,-,-,-
" Grupo Empresarial Hotelero Gran Caribe, S.A.",#VALUE!,-, 3,-,-,," Corporación de comercio y turismo internacional Cubanacán, S.A.",#VALUE!,-, 2,-,-,," Corporación de comercio y turismo internacional Cubanacán, S.A.",2,-,2,-,-,,,, Ministerio de Educación,11,7,0,0,0,0,4,, Agencia de Medio Ambiente,8,8,-,-,-,-
" Grupo Empresarial Viajes Cuba, S.A.",#VALUE!,-, 6,-,-,," Grupo Empresarial Hotelero Gran Caribe, S.A.",#VALUE!,-, 3,-,-,," Grupo Empresarial Hotelero Gran Caribe, S.A.",3,-, 3,-,-,,,,Subordinado al Organismo Superior,4,-,-,-,-,-,"4,0 ",, Ministerio de Educación,11,4,7,-,-,-
" Grupo Empresarial de Servicios al Turismo, S.A.",#VALUE!, 2, 8,-,-,," Grupo Empresarial Viajes Cuba, S.A.",#VALUE!,-, 6,-,-,," Grupo Empresarial Viajes Cuba, S.A.",6,-, 6,-,-,,,, Grupo Empresarial del Ministerio de Educación,7,7,-,-,-,-,-,,Subordinado al Organismo Superior,4,4,-,-,-,-
 Grupo Empresarial Campismo Popular,#VALUE!, 16, 1,-,-,," Grupo Empresarial de Servicios al Turismo, S.A.",#VALUE!, 2, 8,-,-,," Grupo Empresarial de Servicios al Turismo, S.A.",10, 2, 8,-,-,,,, Ministerio de Educación Superior,46, 5, 3,-,-,-,"38,0 ",, Grupo Empresarial del Ministerio de Educación,7,-,7,-,-,-
" Grupo Empresarial Hotelero Islazul, S.A.",#VALUE!,-, 1,-,-,, Grupo Empresarial Campismo Popular,#VALUE!, 16,-,-,-,, Grupo Empresarial Campismo Popular,16, 16,-,-,-,,,,,,,,,,,,, Ministerio de Educación Superior,50,38,5,7,-,-
 Ministerio de las Fuerzas Armadas Revolucionarias  ,35,1,3, 1,30,," Grupo Empresarial Hotelero Islazul, S.A.",#VALUE!,-, 1,-,-,," Grupo Empresarial Hotelero Islazul, S.A.",1,-, 1,-,-,,,, Ministerio de Cultura,49,16, 6,-,-,-,"27,0 ",,,,,,,,
 Unión Industrial Militar,23, 23,-,-,-,, Ministerio de las Fuerzas Armadas Revolucionarias  ,35,1,3, 1,30,, Ministerio de las Fuerzas Armadas Revolucionarias  ,34,1,3,-,"30,0 ",,,,,,,,,,,,, Ministerio de Cultura,50,32,12,6,-,-
 Unión de Construciones Militares,20, 20,-,-,-,, Unión Industrial Militar,#VALUE!, 23,-,-,-,, Unión Industrial Militar,28, 27,1,-,-,,,, Ministerio de Salud Pública,63, 7,6,0,0,0,"50,0 ",,,,,,,,
 Unión Agropecuaria Militar,17, 17,-,-,-,, Unión de Construciones Militares,#VALUE!, 22,-,-,-,, Unión de Construciones Militares,21, 21,-,-,-,,,,Subordinado al Organismo Superior,57, 1,6,-,-,-,"50,0 ",, Ministerio de Salud Pública,65,51,7,7,-,-
 Grupo Empresarial GEOCUBA,13, 13,-,-,-,, Unión Agropecuaria Militar,#VALUE!, 17,-,-,-,, Unión Agropecuaria Militar,17, 17,-,-,-,,,, Grupo Empresarial para el Aseguramiento de la Salud Pública,6, 6,-,-,-,-,-,,Subordinado al Organismo Superior,58,51,1,6,-,-
 Unidad Administrativa Comercial Central de las Fuerzas,,,,,,, Grupo Empresarial GEOCUBA,#VALUE!, 13,-,-,-,, Grupo Empresarial GEOCUBA,13, 13,-,-,-,,,," Instituto Nacional de Deportes, Educación Física y Recreación",13, 3,1,-,1,-,"8,0 ",, Grupo Empresarial para el Aseguramiento de la Salud Pública,7,-,6,1,-,-
  Armadas Revolucionarias,#VALUE!, 9,-,-,-,, Unidad Administrativa Comercial Central de las Fuerzas,#VALUE!, 9,-,-,-,, Unidad Administrativa Comercial Central de las Fuerzas Armadas Revolucionarias,9, 9,-,-,-,,,, Ministerio del Turismo,71, 18,33,0,18,0,"2,0 ",," Instituto Nacional de Deportes, Educación Física y Recreación",12,8,3,1,-,-
" Grupo de Administración Empresarial, S.A.",#VALUE!, 7, 41,-,-,,  Armadas Revolucionarias,-,-,-,-,-,,  Armadas Revolucionarias,,,,,,,,,Subordinado al Organismo Superior,26,-,"6,0 ",-,"18,0 ",-,"2,0 ",,,,,,,,
 Ministerio del Interior,#VALUE!,63,1,-,6,," Grupo de Administración Empresarial, S.A.",49,7,42,-,-,," Grupo de Administración Empresarial, S.A.",51,7,44,-,-,,,," Grupo Empresarial CUBASOL, S.A.",7,-,7,-,-,-,-,, Ministerio del Turismo,53,2,18,33,-,-
 Grupo Empresarial Agropecuario del Ministerio del Interior,#VALUE!, 1,,-,-,, Ministerio del Interior,70, 63,1,-,6,, Ministerio del Interior,52, 45,1,-,"6,0 ",,,," Corporación de comercio y turismo internacional Cubanacán, S.A.",2,-,2,-,-,-,-,,Subordinado al Organismo Superior,8,2,-,6,-,-
 Consejo de Estado,#VALUE!,1,3,-,2,, Grupo Empresarial Agropecuario del Ministerio del Interior,1,1,-,-,-,, Grupo Empresarial Agropecuario del Ministerio del Interior,21,21,-,-,-,,,," Grupo Empresarial Hotelero Gran Caribe, S.A.",3,-,3,-,-,-,-,," Grupo Empresarial CUBASOL, S.A.",7,-,-,7,-,-
 Grupo de las Industrias Biotecnológica y Farmacéuticas,#VALUE!,26,9,-,-,, Consejo de Estado,4, 1,-,-,3,, Grupo Azucarero (AZCUBA),810, 25,5,780,-,,,," Grupo Empresarial Viajes Cuba, S.A.",6,-,6,-,-,-,-,," Corporación de comercio y turismo internacional Cubanacán, S.A.",2,-,-,2,-,-
 Grupo Empresarial PALCO,#VALUE!,11,,-,-,, Grupo de las Industrias Biotecnológica y Farmacéuticas,#VALUE!,25,3,-,-,, Grupo de las Industrias Biotecnológica y Farmacéuticas,34,25,9,-,-,,,," Grupo Empresarial de Servicios al Turismo, S.A.",10,2,8,-,-,-,-,," Grupo Empresarial Hotelero Gran Caribe, S.A.",3,-,-,3,-,-
 Grupo Centro Histórico,#VALUE!,7,3,-,-,, Grupo de Seguros y Servicios Financieros de Cuba S.A,#VALUE!,1,9,-,-,, Grupo Empresarial PALCO,11,11,-,-,-,,,, Grupo Empresarial Campismo Popular,16,16,-,-,-,-,-,," Grupo Empresarial Viajes Cuba, S.A.",6,-,-,6,-,-
 Poder Popular,#VALUE!,436,-,274,1.610,, Grupo Empresarial PALCO,#VALUE!,11,8,-,-,, Poder Popular,2353,474,-,271,"1608,0 ",,,," Grupo Empresarial Hotelero Islazul, S.A.",1,-,1,-,-,-,-,," Grupo Empresarial de Servicios al Turismo, S.A.",10,-,2,8,-,-
 Grupo Empresarial Artemisa,#VALUE!,14,-,-,-,, Grupo Empresarial de Reciclaje,#VALUE!,25,-,-,-,, Otros organismos,230,22,45,9,"154,0 ",,,, Ministerio de las Fuerzas Armadas Revolucionarias  ,126,92,4,0,0,0,"30,0 ",, Grupo Empresarial Campismo Popular,16,-,16,-,-,-
 Grupo Empresarial Mayabeque,#VALUE!,11,-,-,-,, Grupo Empresarial de Acopio,#VALUE!,14,-,-,-,,,,,,,,,,,Subordinado al Organismo Superior,"34,0 ","1,0 ","3,0 ",-,-,-,"30,0 ",," Grupo Empresarial Hotelero Islazul, S.A.",1,-,-,1,-,-
 Grupo Empresarial Construcción de la Habana,#VALUE!,1,-,-,-,, Poder Popular,#VALUE!,437,-,277,1.612,,,,,,,,,,, Unión Industrial Militar, 28, 27, 1,-,-,-,-,, Ministerio de las Fuerzas Armadas Revolucionarias  ,128,30,91,4,3,-
 Unión de Jóvenes Comunistas,#VALUE!,-,-,-,2,, Grupo Empresarial Artemisa,#VALUE!,15,-,-,-,,,,,,,,,,, Unión de Construciones Militares, 21, 21,-,-,-,-,-,,Subordinado al Organismo Superior,35,30,2,3,-,-
 Otros organismos,213,14,39, 9,151,, Grupo Empresarial Mayabeque,#VALUE!,12,-,-,-,,,,,,,,,,, Unión Agropecuaria Militar,"18,0 ","18,0 ",-,-,-,-,-,, Unión Industrial Militar,30,-,28,1,1,-
,,,,,,, Grupo Empresarial Construcción de la Habana,#VALUE!,1,-,-,-,,,,,,,,,,, Grupo Empresarial GEOCUBA,"12,0 ","12,0 ",-,-,-,-,-,, Unión de Construciones Militares,21,-,21,-,-,-
,,,,,,, Grupo Empresarial de Comercio Santiago de Cuba,#VALUE!,4,-,-,-,,,,,,,,,,, Unidad Administrativa Comercial Central de las Fuerzas Armadas Revolucionarias,"13,0 ","13,0 ",-,-,-,-,-,, Unión Agropecuaria Militar,18,-,18,-,-,-
,,,,,,, Otros organismos,214,19,33, 9,153,,,,,,,,,,, Ministerio del Interior,"74,0 ","67,0 ","1,0 ","0,0 ","0,0 ","0,0 ","6,0 ",, Grupo Empresarial GEOCUBA,12,-,12,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,Subordinado al Organismo Superior,"53,0 ","46,0 ","1,0 ",-,-,-,"6,0 ",, Unidad Administrativa Comercial Central de las Fuerzas Armadas Revolucionarias,12,-,10,-,2,-
,,,,,,,,,,,,,,,,,,,,,,, Grupo Empresarial Agropecuario del Ministerio del Interior,"21,0 ","21,0 ",,-,-,-,-,, Ministerio del Interior,73,6,66,1,-,-
,,,,,,,,,,,,,,,,,,,,,,,Instituto Nacional de Ordenamiento Territorial y Urbanismo,"15,0 ",-,-,-,-,-,"15,0 ",,Subordinado al Organismo Superior,16,6,9,1,-,-
,,,,,,,,,,,,,,,,,,,,,,,Subordinado al Organismo Superior,"15,0 ",-,-,-,-,-,"15,0 ",, Grupo Empresarial Agropecuario del Ministerio del Interior,21,-,21,,-,-
,,,,,,,,,,,,,,,,,,,,,,," Grupo de Administración Empresarial, S.A.","51,0 ","7,0 ","44,0 ",-,-,-,-,,Unidad  de Administración Comercial Central del Ministerio del Interior,17,-,17,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grupo Empresarial Constructor MININT,19,-,19,-,-,-
,,,,,,,,,,,,,,,,,,,,,,, Grupo Azucarero (AZCUBA),"845,0 ","69,0 ","5,0 ",-,-,"771,0 ",-,,Instituto Nacional de Ordenamiento Territorial y Urbanismo,19,19,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subordinado al Organismo Superior,19,19,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,, Grupo de las Industrias Biotecnológica y Farmacéuticas,"34,0 ","25,0 ","9,0 ",-,-,-,-,," Grupo de Administración Empresarial, S.A.",52,-,7,45,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, Grupo Empresarial PALCO,"11,0 ","11,0 ",-,-,-,-,-,, Grupo Azucarero (AZCUBA),73,-,66,5,2,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, Poder Popular,"2496,0 ","486,0 ",-,-,"272,0 ",-,"1738,0 ",, Grupo de las Industrias Biotecnológica y Farmacéuticas,33,-,24,9,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, Otros organismos,"503,0 ","22,0 ","44,0 ","270,0 ","13,0 ",-,"154,0 ",, Grupo Empresarial PALCO,10,-,10,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Poder Popular,2.274,1744,489,-,41,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Otros organismos,277,151,27,45,3,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuente: Directorio de Unidades Institucionales y Establecimientos (DUINE),,,,,,
