4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"           y provincias, año 2006 ",,,,,"         y provincias,  año 2007 ",,,,,"          y provincias, año 2008",,,,,"          y provincias, año 2009 ",,,,,"           y provincias, año 2010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba, 12 455 , 3 519 , 6 843 , 2 093 ,Cuba, 12 314 , 3 417 , 6 683 , 2 214 ,Cuba, 12 462 , 3 356 , 6 581 , 2 525 ,Cuba, 12 141 , 3 169 , 6 398 , 2 574 ,Cuba, 11 857 , 3 090 , 6 253 , 2 514 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pinar del Río,  978 ,  189 ,  672 ,  117 ,  Pinar del Río,  984 ,  182 ,  667 ,  135 ,  Pinar del Río,  984 ,  166 ,  654 ,  164 ,  Pinar del Río,  971 ,  153 ,  654 ,  164 ,  Pinar del Río,  930 ,  148 ,  624 ,  158 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  La Habana,  671 ,  150 ,  430 ,  91 ,  La Habana,  653 ,  131 ,  430 ,  92 ,  La Habana,  777 ,  177 ,  413 ,  187 ,  La Habana,  692 ,  124 ,  414 ,  154 ,  La Habana,  720 ,  171 ,  398 ,  151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ciudad de La Habana, 2 003 , 1 179 ,  220 ,  604 ,  Ciudad de La Habana, 1 984 , 1 154 ,  220 ,  610 ,  Ciudad de La Habana, 1 916 , 1 082 ,  222 ,  612 ,  Ciudad de La Habana, 1 901 , 1 121 ,  124 ,  656 ,  Ciudad de La Habana, 1 779 , 1 057 ,  125 ,  597 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Matanzas,  661 ,  241 ,  306 ,  114 ,  Matanzas,  676 ,  230 ,  306 ,  140 ,  Matanzas,  682 ,  226 ,  292 ,  164 ,  Matanzas,  638 ,  197 ,  277 ,  164 ,  Matanzas,  627 ,  190 ,  275 ,  162 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Villa Clara,  887 ,  225 ,  530 ,  132 ,  Villa Clara,  823 ,  204 ,  485 ,  134 ,  Villa Clara,  825 ,  200 ,  485 ,  140 ,  Villa Clara,  822 ,  192 ,  485 ,  145 ,  Villa Clara,  831 ,  180 ,  485 ,  166 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Cienfuegos,  587 ,  164 ,  320 ,  103 ,  Cienfuegos,  593 ,  161 ,  320 ,  112 ,  Cienfuegos,  600 ,  158 ,  318 ,  124 ,  Cienfuegos,  591 ,  149 ,  318 ,  124 ,  Cienfuegos,  496 ,  145 ,  229 ,  122 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sancti Spíritus,  634 ,  135 ,  399 ,  100 ,  Sancti Spíritus,  631 ,  136 ,  393 ,  102 ,  Sancti Spíritus,  654 ,  135 ,  394 ,  125 ,  Sancti Spíritus,  640 ,  126 ,  389 ,  125 ,  Sancti Spíritus,  642 ,  123 ,  394 ,  125 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ciego de Ávila,  543 ,  132 ,  312 ,  99 ,  Ciego de Ávila,  547 ,  128 ,  307 ,  112 ,  Ciego de Ávila,  555 ,  129 ,  304 ,  122 ,  Ciego de Ávila,  539 ,  123 ,  293 ,  123 ,  Ciego de Ávila,  522 ,  106 ,  290 ,  126 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Camagüey,  970 ,  201 ,  638 ,  131 ,  Camagüey,  980 ,  199 ,  632 ,  149 ,  Camagüey,  975 ,  198 ,  618 ,  159 ,  Camagüey,  959 ,  181 ,  608 ,  170 ,  Camagüey,  955 ,  177 ,  607 ,  171 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Las Tunas,  627 ,  124 ,  413 ,  90 ,  Las Tunas,  615 ,  120 ,  395 ,  100 ,  Las Tunas,  605 ,  121 ,  377 ,  107 ,  Las Tunas,  593 ,  110 ,  376 ,  107 ,  Las Tunas,  597 ,  108 ,  377 ,  112 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Holguín,  971 ,  224 ,  628 ,  119 ,  Holguín,  971 ,  224 ,  628 ,  119 ,  Holguín,  980 ,  220 ,  628 ,  132 ,  Holguín,  947 ,  195 ,  600 ,  152 ,  Holguín,  930 ,  193 ,  586 ,  151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Granma,  945 ,  153 ,  683 ,  109 ,  Granma,  890 ,  149 ,  632 ,  109 ,  Granma,  918 ,  146 ,  621 ,  151 ,  Granma,  909 ,  136 ,  621 ,  152 ,  Granma,  893 ,  133 ,  611 ,  149 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Santiago de Cuba, 1 074 ,  228 ,  718 ,  128 ,  Santiago de Cuba, 1 068 ,  225 ,  712 ,  131 ,  Santiago de Cuba, 1 077 ,  222 ,  700 ,  155 ,  Santiago de Cuba, 1 054 ,  210 ,  689 ,  155 ,  Santiago de Cuba, 1 046 ,  207 ,  691 ,  148 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Guantánamo,  806 ,  139 ,  544 ,  123 ,  Guantánamo,  799 ,  138 ,  526 ,  135 ,  Guantánamo,  811 ,  139 ,  524 ,  148 ,  Guantánamo,  783 ,  116 ,  519 ,  148 ,  Guantánamo,  790 ,  115 ,  530 ,  145 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Isla de la Juventud,  98 ,  35 ,  30 ,  33 ,  Isla de la Juventud,  100 ,  36 ,  30 ,  34 ,  Isla de la Juventud,  103 ,  37 ,  31 ,  35 ,  Isla de la Juventud,  102 ,  36 ,  31 ,  35 ,  Isla de la Juventud,  99 ,  37 ,  31 ,  31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,"4.2 -  Principales entidades clasificadas por formas de organización  y provincias, año 2013 ",,,,,,,,,"4.2 -  Principales entidades clasificadas por formas de organización  y provincias, año 2014",,,,,,,,,,"4.2 -  Principales entidades clasificadas por formas de organización  y provincias, año 2015 ",,,,,,,,,,"4.2 -  Principales entidades clasificadas por formas de organización  y provincias, año 2016 ",,,,,,,,,,,"4.2 -  Principales entidades clasificadas por formas de organización  y provincias, año 2017",,,,,,,,,
"          y provincias, año 2011",,,,,"          y provincias, año 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         ,,,,,,,,,
,,,,Unidad,,,,,Unidad,,,,,,,,,Unidad,,,,,,,,,,Unidad,,,,,,,,,,Unidad,,,,,,,,,,Unidad,,,,,,,,,,,Unidad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Unidades,,,,,Unidades,,,,Sociedades,Cooperativas,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades
PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas , Mercantiles,Total,UBPC,CPA,CCS,Presupuestadas,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presupuestadas,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presupuestadas,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presupuestadas,,CUBA/PROVINCIAS,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presupuestadas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba, 10 963 , 2 697 , 5 811 , 2 455 ,Cuba, 10 556 , 2 486 , 5 688 , 2 382 ,Cuba,10.048,2.235,237,5.222,1.811,909,2.502,2.354,Cuba,10.024,1.992,229,5.506,345,1.754,903,2.504,2.297,Cuba,10.014,1.956,224,5.473,367,1.699,897,2.510,2.361,Cuba,9.833,1.904,223,5.361,397,1.606,887,2.471,2.345,,Cuba,9.628,1.801,230,5.355,439,1.563,882,2.471,2.242
  Pinar del Río,  675 ,  121 ,  420 ,  134 ,  Pinar del Río,  704 ,  107 ,  463 ,  134 ,  Pinar del Río, 626, 106,-, 387, 77, 71, 239, 133,  Pinar del Río, 621, 97,-, 397, 12, 77, 70, 238, 127,  Pinar del Río, 620, 96,-, 386, 12, 67, 71, 236, 138,  Pinar del Río, 614, 94,-, 384, 12, 67, 69, 236, 136,,  Pinar del Río,603,88,-,382,12,65,69,236,133
  Artemisa,  415 ,  81 ,  248 ,  86 ,  Artemisa,  346 ,  71 ,  211 ,  64 ,  Artemisa, 341, 65, 4, 209, 72, 59, 78, 63,  Artemisa, 383, 57, 4, 259, 64, 61, 54, 80, 63,  Artemisa, 398, 57, 4, 274, 66, 59, 54, 95, 63,  Artemisa, 410, 57, 5, 285, 68, 67, 38, 112, 63,,  Artemisa,413,60,6,283,68,65,38,112,64
  La Habana, 1 712 , 1 007 ,  124 ,  581 ,  La Habana, 1 636 ,  943 ,  125 ,  568 ,  La Habana,1 610, 714, 225, 123, 31, 1, 91, 548,  La Habana,1 677, 633, 216, 287, 173, 26,-, 88, 541,  La Habana,1 687, 626, 212, 307, 192, 27,-, 88, 542,  La Habana,1 703, 621, 210, 336, 221, 27,-, 88, 536,,  La Habana,1.699,600,214,378,264,26,-,88,507
  Mayabeque,  421 ,  72 ,  272 ,  77 ,  Mayabeque,  393 ,  62 ,  272 ,  59 ,  Mayabeque, 398, 65, 2, 273, 81, 16, 176, 58,  Mayabeque, 407, 63, 3, 284, 15, 73, 20, 176, 57,  Mayabeque, 398, 62, 3, 277, 15, 68, 20, 174, 56,  Mayabeque, 362, 59, 3, 243, 14, 61, 32, 136, 57,,  Mayabeque,357,57,3,240,14,58,32,136,57
  Matanzas,  571 ,  149 ,  268 ,  154 ,  Matanzas,  544 ,  132 ,  259 ,  153 ,  Matanzas, 537, 131, 1, 252, 94, 62, 96, 153,  Matanzas, 532, 110, 1, 271, 20, 93, 61, 97, 150,  Matanzas, 532, 109, 1, 262, 20, 87, 59, 96, 160,  Matanzas, 521, 103, 1, 257, 20, 82, 59, 96, 160,,  Matanzas,515,100,1,254,19,81,58,96,160
  Villa Clara,  772 ,  155 ,  454 ,  163 ,  Villa Clara,  767 ,  137 ,  466 ,  164 ,  Villa Clara, 738, 135,-, 439, 142, 72, 225, 164,  Villa Clara, 707, 121,-, 429, 8, 127, 71, 223, 157,  Villa Clara, 705, 122,-, 427, 8, 127, 70, 222, 156,  Villa Clara, 696, 115,-, 427, 8, 127, 70, 222, 154,,  Villa Clara,667,104,-,411,8,112,69,222,152
  Cienfuegos,  474 ,  126 ,  227 ,  121 ,  Cienfuegos,  446 ,  109 ,  218 ,  119 ,  Cienfuegos, 421, 111,-, 191, 86, 32, 73, 119,  Cienfuegos, 386, 89,-, 189, 3, 82, 32, 72, 108,  Cienfuegos, 388, 89,-, 187, 4, 79, 32, 72, 112,  Cienfuegos, 383, 84,-, 187, 4, 79, 32, 72, 112,,  Cienfuegos,376,78,1,187,4,80,31,72,110
  Sancti Spíritus,  561 ,  101 ,  341 ,  119 ,  Sancti Spíritus,  544 ,  90 ,  338 ,  116 ,  Sancti Spíritus, 530, 91,-, 322, 104, 56, 162, 117,  Sancti Spíritus, 523, 80,-, 328, 8, 104, 55, 161, 115,  Sancti Spíritus, 524, 79,-, 328, 8, 104, 55, 161, 117,  Sancti Spíritus, 518, 78,-, 323, 8, 99, 55, 161, 117,,  Sancti Spíritus,506,75,-,323,8,99,55,161,108
  Ciego de Ávila,  472 ,  97 ,  248 ,  127 ,  Ciego de Ávila,  447 ,  94 ,  229 ,  124 ,  Ciego de Ávila, 444, 96,-, 224, 84, 51, 89, 124,  Ciego de Ávila, 426, 79,-, 225, 4, 81, 51, 89, 122,  Ciego de Ávila, 430, 79,-, 225, 4, 81, 51, 89, 126,  Ciego de Ávila, 421, 79,-, 215, 4, 74, 49, 88, 127,,  Ciego de Ávila,406,75,-,215,4,74,49,88,116
  Camagüey,  782 ,  131 ,  488 ,  163 ,  Camagüey,  751 ,  131 ,  458 ,  162 ,  Camagüey, 730, 129, 1, 438, 180, 84, 174, 162,  Camagüey, 725, 117, 1, 447, 8, 177, 84, 178, 160,  Camagüey, 726, 114,-, 443, 8, 172, 84, 179, 169,  Camagüey, 714, 106,-, 443, 8, 172, 84, 179, 165,,  Camagüey,680,103,-,426,8,157,82,179,151
  Las Tunas,  622 ,  97 ,  414 ,  111 ,  Las Tunas,  596 ,  77 ,  411 ,  108 ,  Las Tunas, 466, 74,-, 284, 123, 44, 117, 108,  Las Tunas, 455, 69,-, 280, 2, 117, 44, 117, 106,  Las Tunas, 465, 68,-, 282, 2, 120, 43, 117, 115,  Las Tunas, 453, 65,-, 274, 2, 112, 43, 117, 114,,  Las Tunas,434,57,-,274,2,112,43,117,103
  Holguín,  897 ,  175 ,  573 ,  149 ,  Holguín,  869 ,  160 ,  562 ,  147 ,  Holguín, 838, 141, 3, 545, 140, 106, 299, 149,  Holguín, 825, 129, 3, 551, 4, 140, 106, 301, 142,  Holguín, 824, 122, 3, 545, 4, 137, 105, 299, 154,  Holguín, 820, 118, 3, 544, 4, 136, 105, 299, 155,,  Holguín,809,108,4,542,4,134,105,299,155
  Granma,  836 ,  108 ,  583 ,  145 ,  Granma,  790 ,  105 ,  541 ,  144 ,  Granma, 771, 107,-, 524, 189, 99, 236, 140,  Granma, 765, 99,-, 529, 7, 189, 99, 234, 137,  Granma, 767, 99,-, 520, 7, 183, 98, 232, 148,  Granma, 756, 93,-, 517, 7, 182, 96, 232, 146,,  Granma,732,83,-,517,7,182,96,232,132
  Santiago de Cuba,  960 ,  143 ,  669 ,  148 ,  Santiago de Cuba,  951 ,  142 ,  661 ,  148 ,  Santiago de Cuba, 886, 139, 1, 600, 275, 85, 240, 146,  Santiago de Cuba, 881, 126, 1, 610, 9, 274, 85, 242, 144,  Santiago de Cuba, 862, 122, 1, 592, 9, 257, 84, 242, 147,  Santiago de Cuba, 787, 119, 1, 522, 9, 202, 85, 226, 145,,  Santiago de Cuba,776,113,1,519,9,199,85,226,143
  Guantánamo,  702 ,  102 ,  455 ,  145 ,  Guantánamo,  687 ,  97 ,  447 ,  143 ,  Guantánamo, 628, 99,-, 386, 125, 70, 191, 143,  Guantánamo, 626, 93,-, 392, 5, 125, 70, 192, 141,  Guantánamo, 606, 83,-, 390, 5, 123, 70, 192, 133,  Guantánamo, 593, 84,-, 376, 5, 111, 69, 191, 133,,  Guantánamo,574,71,-,376,5,111,69,191,127
  Isla de la Juventud,  91 ,  32 ,  27 ,  32 ,  Isla de la Juventud,  85 ,  29 ,  27 ,  29 ,  Isla de la Juventud, 84, 32,-, 25, 8, 1, 16, 27,  Isla de la Juventud, 85, 30,-, 28, 3, 8, 1, 16, 27,  Isla de la Juventud, 82, 29,-, 28, 3, 8, 1, 16, 25,  Isla de la Juventud, 82, 29,-, 28, 3, 8, 1, 16, 25,,  Isla de la Juventud,81,29,-,28,3,8,1,16,24
